x[m], T[K]
4.34916,300
4.35315,300
4.35714,300
4.36112,300
4.36511,300
4.3691,300
4.37309,300
4.37707,300
4.38106,300
4.38505,300
4.38904,300
4.39302,300
4.39701,300
4.401,300
4.40499,300
4.40897,300
4.41296,300
4.41695,300
4.42094,300
4.42492,300
4.42891,300
4.4329,300
4.43689,300
4.44087,300
4.44486,300
4.44885,300
4.45284,300
4.45682,300
4.46081,300
4.4648,300
4.46879,300
4.47277,300
4.47676,300
4.48075,300
4.48474,300
4.48872,300
4.49271,300
4.4967,300
4.50069,300
4.50467,300
4.50866,300
4.51265,300
4.51664,300
4.52062,300
4.52461,300
4.5286,300
4.53259,300
4.53657,300
4.54056,300
4.54455,300
4.54854,300
4.55252,300
4.55651,300
4.5605,300
4.56449,300
4.56847,300
4.57246,300
4.57645,300
4.58044,300
4.58442,300
4.58841,300
4.5924,300
4.59639,300
4.60037,300
4.60436,300
4.60835,300
4.61234,300
4.61632,300
4.62031,300
4.6243,300
4.62829,300
4.63227,300
4.63626,300
4.64025,300
4.64424,300
4.64822,300
4.65221,300
4.6562,300
4.66019,300
4.66417,300
4.66816,300
4.67215,300
4.67614,300
4.68012,300
4.68411,300
4.6881,300
4.69209,300
4.69607,300
4.70006,300
4.70405,300
4.70804,300
4.71202,300
4.71601,300
4.72,300
4.72399,300
4.72797,300
4.73196,300
4.73595,300
4.73994,300
4.74392,300
4.74791,300
4.7519,300
4.75589,300
4.75987,300
4.76386,300
4.76785,300
4.77184,300
4.77582,300
4.77981,300
4.7838,300
4.78779,300
4.79177,300
4.79576,300
4.79975,300
4.80374,300
4.80772,300
4.81171,300
4.8157,300
4.81969,300
4.82367,300
4.82766,300
4.83165,300
4.83564,300
4.83962,300
4.84361,300
4.8476,300
4.85159,300
4.85557,300
4.85956,300
4.86355,300
4.86754,300
4.87152,300
4.87551,300
4.8795,300
4.88349,300
4.88747,300
4.89146,300
4.89545,300
4.89944,300
4.90342,300
4.90741,300
4.9114,300
4.91539,300
4.91937,300
4.92336,300
4.92735,300
4.93134,300
4.93532,300
4.93931,300
4.9433,300
4.94729,300
4.95127,300
4.95526,300
4.95925,300
4.96324,300
4.96722,300
4.97121,300
4.9752,300
4.97919,300
4.98317,300
4.98716,300
4.99115,300
4.99514,300
4.99912,300
5.00311,300
5.0071,300
5.01109,300
5.01507,300
5.01906,300
5.02305,300
5.02704,300
5.03102,300
5.03501,300
5.039,300
5.04299,300
5.04697,300
5.05096,300
5.05495,300
5.05894,300
5.06292,300
5.06691,300
5.0709,300
5.07489,300
5.07887,300
5.08286,300
5.08685,300
5.09084,300
5.09482,300
5.09881,300
5.1028,300
5.10679,300
5.11077,300
5.11476,300
5.11875,300
