Reaction;rho_i_v;rho_i_c;A_i;E_i/R;psi;T_reac;;;;;;;;;;;;
;(lb/ft^3);(lb/ft^3);sec-1;(deg R);(---);(in R);;;;;;;;;;;;
A;1.873E+01;0.000E+00;1.200E+04;1.540E+04;3.000E+00;6.000E+02;;;;;;;;;;;;
B;5.619E+01;3.746E+01;4.480E+09;3.680E+04;3.000E+00;1.000E+03;;;;;;;;;;;;
C;9.988E+01;9.988E+01;0.00E+00;0.00;0.00;1.000E+04;The carbon fibers do not pyrolyse;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Note for CMA/FIAT;;Resin volume fraction = 0.5 (Gamma in CMA);;;;;rho = (1-phi) [gamma (rho_A + rho_B) - (1-gamma) rho_c];;;;;;;;;;;
users;;Composite porosity = 0.8 (phi in CMA);;;;;!!! phi must be used if non-zero (even if not shown in the publications);;;;;;;;;;;
;1.475E+03;1.102E+01;3.988E+00;1.255E+00;3.142E+03;4.550E-01;9.106E-04;;;;;2.655E+03;9.525E-01;1.351E+03;;;;
;1.500E+03;1.102E+01;3.802E+00;1.264E+00;3.239E+03;4.601E-01;8.949E-04;;;;;2.700E+03;9.080E-01;1.392E+03;;;;
;1.525E+03;1.101E+01;3.709E+00;1.268E+00;3.333E+03;4.652E-01;8.799E-04;;;;;2.745E+03;8.860E-01;1.433E+03;;;;
;1.550E+03;1.101E+01;3.663E+00;1.270E+00;3.425E+03;4.703E-01;8.654E-04;;;;;2.790E+03;8.749E-01;1.472E+03;;;;
;1.575E+03;1.100E+01;3.643E+00;1.270E+00;3.516E+03;4.754E-01;8.515E-04;;;;;2.835E+03;8.700E-01;1.512E+03;;;;
;1.600E+03;1.100E+01;3.640E+00;1.269E+00;3.607E+03;4.805E-01;8.380E-04;;;;;2.880E+03;8.694E-01;1.551E+03;;;;
;1.625E+03;1.100E+01;3.651E+00;1.268E+00;3.698E+03;4.856E-01;8.249E-04;;;;;2.925E+03;8.721E-01;1.590E+03;;;;
;1.650E+03;1.100E+01;3.674E+00;1.266E+00;3.790E+03;4.906E-01;8.123E-04;;;;;2.970E+03;8.774E-01;1.629E+03;;;;
;1.675E+03;1.100E+01;3.706E+00;1.263E+00;3.882E+03;4.957E-01;8.000E-04;;;;;3.015E+03;8.853E-01;1.669E+03;;;;
;1.700E+03;1.099E+01;3.750E+00;1.260E+00;3.975E+03;5.007E-01;7.881E-04;;;;;3.060E+03;8.956E-01;1.709E+03;;;;
;1.725E+03;1.099E+01;3.803E+00;1.257E+00;4.069E+03;5.057E-01;7.765E-04;;;;;3.105E+03;9.083E-01;1.749E+03;;;;
;1.750E+03;1.099E+01;3.868E+00;1.253E+00;4.165E+03;5.107E-01;7.653E-04;;;;;3.150E+03;9.238E-01;1.791E+03;;;;
;1.775E+03;1.099E+01;3.945E+00;1.248E+00;4.263E+03;5.157E-01;7.543E-04;;;;;3.195E+03;9.421E-01;1.833E+03;;;;
;1.800E+03;1.098E+01;4.035E+00;1.243E+00;4.363E+03;5.206E-01;7.436E-04;;;;;3.240E+03;9.636E-01;1.876E+03;;;;
;1.825E+03;1.098E+01;4.139E+00;1.238E+00;4.465E+03;5.256E-01;7.332E-04;;;;;3.285E+03;9.887E-01;1.919E+03;;;;
;1.850E+03;1.098E+01;4.260E+00;1.232E+00;4.570E+03;5.306E-01;7.230E-04;;;;;3.330E+03;1.018E+00;1.965E+03;;;;
;1.875E+03;1.097E+01;4.400E+00;1.226E+00;4.678E+03;5.355E-01;7.130E-04;;;;;3.375E+03;1.051E+00;2.011E+03;;;;
;1.900E+03;1.096E+01;4.559E+00;1.220E+00;4.790E+03;5.405E-01;7.032E-04;;;;;3.420E+03;1.089E+00;2.059E+03;;;;
;1.925E+03;1.096E+01;4.741E+00;1.214E+00;4.906E+03;5.454E-01;6.936E-04;;;;;3.465E+03;1.132E+00;2.109E+03;;;;
;1.950E+03;1.095E+01;4.947E+00;1.207E+00;5.027E+03;5.503E-01;6.842E-04;;;;;3.510E+03;1.182E+00;2.161E+03;;;;
;1.975E+03;1.094E+01;5.180E+00;1.201E+00;5.154E+03;5.553E-01;6.749E-04;;;;;3.555E+03;1.237E+00;2.216E+03;;;;
;2.000E+03;1.093E+01;5.444E+00;1.194E+00;5.286E+03;5.603E-01;6.658E-04;;;;;3.600E+03;1.300E+00;2.273E+03;;;;
;2.025E+03;1.091E+01;5.740E+00;1.188E+00;5.426E+03;5.652E-01;6.568E-04;;;;;3.645E+03;1.371E+00;2.333E+03;;;;
