time,x_char_[m],x_pyro_[m]
31.4,0.00172102,0.0101226
31.5,0.00172642,0.0101405
31.6,0.00173184,0.0101585
31.7,0.00173727,0.0101766
31.8,0.00174272,0.0101944
31.9,0.00174818,0.0102124
32,0.00175353,0.0102304
32.1,0.00175883,0.010248
32.2,0.00176414,0.0102661
32.3,0.00176946,0.010284
32.4,0.00177481,0.0103015
32.5,0.00178016,0.0103196
32.6,0.00178554,0.0103373
32.7,0.00179092,0.0103549
32.8,0.00179633,0.0103728
32.9,0.00180168,0.0103904
33,0.00180692,0.010408
33.1,0.00181217,0.0104258
33.2,0.00181744,0.0104433
33.3,0.00182273,0.0104609
33.4,0.00182803,0.0104786
33.5,0.00183334,0.0104959
33.6,0.00183867,0.0105136
33.7,0.00184401,0.0105311
33.8,0.00184936,0.0105483
33.9,0.00185457,0.010566
34,0.00185977,0.0105835
34.1,0.00186498,0.0106006
34.2,0.0018702,0.0106183
34.3,0.00187544,0.0106356
34.4,0.0018807,0.0106527
34.5,0.00188596,0.0106703
34.6,0.00189125,0.0106875
34.7,0.00189654,0.0107047
34.8,0.00190179,0.0107221
34.9,0.00190693,0.0107393
35,0.00191208,0.0107564
35.1,0.00191725,0.0107738
35.2,0.00192243,0.0107908
35.3,0.00192762,0.0108079
35.4,0.00193283,0.0108252
35.5,0.00193805,0.0108421
35.6,0.00194329,0.0108592
35.7,0.00194854,0.0108764
35.8,0.00195367,0.0108933
35.9,0.00195877,0.0109103
36,0.00196388,0.0109274
36.1,0.001969,0.0109442
36.2,0.00197414,0.0109613
36.3,0.00197929,0.0109783
36.4,0.00198445,0.010995
36.5,0.00198963,0.011012
36.6,0.00199482,0.0110289
36.7,0.00200002,0.0110456
36.8,0.00200506,0.0110625
36.9,0.00201011,0.0110794
37,0.00201517,0.011096
37.1,0.00202025,0.0111129
37.2,0.00202534,0.0111297
37.3,0.00203045,0.0111462
37.4,0.00203556,0.011163
37.5,0.0020407,0.0111798
37.6,0.00204584,0.0111962
37.7,0.00205096,0.011213
37.8,0.00205596,0.0112297
37.9,0.00206096,0.0112461
38,0.00206598,0.0112628
38.1,0.00207102,0.0112795
38.2,0.00207606,0.0112958
38.3,0.00208112,0.0113125
38.4,0.00208619,0.0113291
38.5,0.00209128,0.0113453
38.6,0.00209637,0.0113619
38.7,0.00210143,0.0113785
38.8,0.00210638,0.0113947
38.9,0.00211135,0.0114112
39,0.00211632,0.0114277
39.1,0.00212131,0.0114439
39.2,0.00212631,0.0114603
39.3,0.00213132,0.0114768
39.4,0.00213635,0.0114929
39.5,0.00214138,0.0115093
39.6,0.00214644,0.0115257
39.7,0.00215145,0.0115418
39.8,0.00215635,0.011558
39.9,0.00216127,0.0115744
40,0.0021662,0.0115905
40.1,0.00217114,0.0116066
40.2,0.0021761,0.011623
40.3,0.00218106,0.011639
40.4,0.00218604,0.0116551
40.5,0.00219103,0.0116714
40.6,0.00219604,0.0116874
40.7,0.00220102,0.0117033
40.8,0.00220588,0.0117196
40.9,0.00221075,0.0117356
41,0.00221564,0.0117514
41.1,0.00222053,0.0117677
41.2,0.00222544,0.0117837
41.3,0.00223036,0.0117994
41.4,0.00223529,0.0118156
41.5,0.00224024,0.0118316
41.6,0.00224519,0.0118473
41.7,0.00225016,0.0118634
41.8,0.00225497,0.0118793
41.9,0.0022598,0.011895
42,0.00226464,0.011911
42.1,0.00226949,0.0119269
42.2,0.00227435,0.0119426
42.3,0.00227923,0.0119584
42.4,0.00228411,0.0119743
42.5,0.00228901,0.01199
42.6,0.00229392,0.0120057
42.7,0.00229884,0.0120216
42.8,0.00230365,0.0120373
42.9,0.00230843,0.0120528
43,0.00231323,0.0120687
43.1,0.00231803,0.0120844
43.2,0.00232285,0.0120998
43.3,0.00232768,0.0121157
43.4,0.00233252,0.0121313
43.5,0.00233737,0.0121467
43.6,0.00234223,0.0121625
43.7,0.0023471,0.0121781
43.8,0.00235192,0.0121935
43.9,0.00235666,0.0122091
44,0.00236141,0.0122248
44.1,0.00236617,0.0122402
44.2,0.00237094,0.0122556
44.3,0.00237572,0.0122713
44.4,0.00238052,0.0122867
44.5,0.00238532,0.0123019
44.6,0.00239014,0.0123176
44.7,0.00239496,0.012333
44.8,0.0023998,0.0123482
44.9,0.0024045,0.0123638
45,0.0024092,0.0123792
45.1,0.00241391,0.0123944
45.2,0.00241864,0.0124098
45.3,0.00242338,0.0124253
45.4,0.00242812,0.0124405
45.5,0.00243288,0.0124557
45.6,0.00243765,0.0124712
45.7,0.00244243,0.0124864
45.8,0.00244722,0.0125015
45.9,0.00245195,0.0125169
46,0.00245661,0.0125322
46.1,0.00246128,0.0125472
46.2,0.00246596,0.0125625
46.3,0.00247065,0.0125778
46.4,0.00247535,0.0125928
46.5,0.00248006,0.012608
46.6,0.00248478,0.0126233
46.7,0.00248951,0.0126383
46.8,0.00249426,0.0126533
46.9,0.00249901,0.0126686
47,0.00250365,0.0126836
47.1,0.00250828,0.0126985
47.2,0.00251291,0.0127137
47.3,0.00251756,0.0127288
47.4,0.00252221,0.0127437
47.5,0.00252687,0.0127587
47.6,0.00253155,0.0127739
47.7,0.00253624,0.0127888
47.8,0.00254093,0.0128036
47.9,0.00254564,0.0128188
48,0.00255034,0.0128337
48.1,0.00255492,0.0128484
48.2,0.00255951,0.0128635
48.3,0.00256411,0.0128784
48.4,0.00256871,0.0128932
48.5,0.00257333,0.0129081
48.6,0.00257796,0.0129231
48.7,0.0025826,0.0129378
48.8,0.00258725,0.0129525
48.9,0.00259191,0.0129675
49,0.00259658,0.0129823
49.1,0.00260122,0.0129969
49.2,0.00260576,0.0130119
49.3,0.00261031,0.0130267
49.4,0.00261488,0.0130413
49.5,0.00261945,0.013056
49.6,0.00262403,0.0130709
49.7,0.00262862,0.0130856
49.8,0.00263323,0.0131
49.9,0.00263784,0.013115
50,0.00264246,0.0131297
50.1,0.00264709,0.0131442
50.2,0.00265168,0.0131589
50.3,0.00265619,0.0131736
50.4,0.0026607,0.0131882
50.5,0.00266523,0.0132026
50.6,0.00266977,0.0132174
50.7,0.00267431,0.013232
50.8,0.00267887,0.0132464
50.9,0.00268344,0.013261
51,0.00268801,0.0132757
51.1,0.0026926,0.0132901
51.2,0.00269719,0.0133045
51.3,0.00270174,0.0133192
51.4,0.00270621,0.0133337
51.5,0.00271069,0.013348
51.6,0.00271518,0.0133626
51.7,0.00271968,0.0133771
51.8,0.00272419,0.0133914
51.9,0.00272871,0.0134058
52,0.00273324,0.0134204
52.1,0.00273778,0.0134348
52.2,0.00274233,0.0134489
52.3,0.00274688,0.0134635
52.4,0.00275141,0.0134779
52.5,0.00275584,0.0134922
52.6,0.00276029,0.0135065
52.7,0.00276474,0.013521
52.8,0.0027692,0.0135353
52.9,0.00277368,0.0135493
53,0.00277816,0.0135638
53.1,0.00278265,0.0135782
53.2,0.00278715,0.0135923
53.3,0.00279166,0.0136066
53.4,0.00279618,0.013621
53.5,0.00280069,0.0136352
53.6,0.00280509,0.0136492
53.7,0.0028095,0.0136636
53.8,0.00281392,0.0136778
53.9,0.00281834,0.0136919
54,0.00282278,0.013706
54.1,0.00282723,0.0137204
54.2,0.00283168,0.0137345
54.3,0.00283615,0.0137484
54.4,0.00284062,0.0137627
54.5,0.0028451,0.0137769
54.6,0.00284959,0.0137909
54.7,0.00285397,0.0138049
54.8,0.00285834,0.0138192
54.9,0.00286272,0.0138332
55,0.00286711,0.0138471
55.1,0.00287151,0.0138613
55.2,0.00287592,0.0138754
55.3,0.00288034,0.0138893
55.4,0.00288477,0.0139032
55.5,0.0028892,0.0139174
55.6,0.00289365,0.0139314
55.7,0.0028981,0.0139453
55.8,0.00290248,0.0139593
55.9,0.00290682,0.0139734
56,0.00291116,0.0139872
56.1,0.00291552,0.014001
56.2,0.00291988,0.0140151
56.3,0.00292425,0.0140291
56.4,0.00292863,0.0140429
56.5,0.00293302,0.0140567
56.6,0.00293742,0.0140708
56.7,0.00294183,0.0140846
56.8,0.00294624,0.0140983
56.9,0.00295065,0.0141123
57,0.00295495,0.0141262
57.1,0.00295926,0.0141399
57.2,0.00296357,0.0141536
57.3,0.0029679,0.0141676
57.4,0.00297223,0.0141814
57.5,0.00297658,0.014195
57.6,0.00298093,0.0142089
57.7,0.00298529,0.0142228
57.8,0.00298966,0.0142365
57.9,0.00299404,0.01425
58,0.00299842,0.0142639
58.1,0.00300273,0.0142777
58.2,0.003007,0.0142913
58.3,0.00301129,0.0143049
58.4,0.00301557,0.0143188
58.5,0.00301987,0.0143325
58.6,0.00302418,0.014346
58.7,0.00302849,0.0143597
58.8,0.00303282,0.0143735
58.9,0.00303715,0.014387
59,0.00304149,0.0144005
59.1,0.00304583,0.0144143
59.2,0.00305019,0.014428
59.3,0.00305442,0.0144414
59.4,0.00305867,0.014455
59.5,0.00306292,0.0144687
59.6,0.00306718,0.0144823
59.7,0.00307145,0.0144957
59.8,0.00307572,0.0145093
59.9,0.00308001,0.0145229
60,0.0030843,0.0145364
